usernameTweet,ID,text,url,nbr_retweet,nbr_favorite,nbr_reply,datetime,has_media,medias,is_reply,is_retweet,user_id
icddr_b,756539392,"What are the risk factors for the presence of #dengue  vector mosquitoes? Determinants of their prevalence and larval site selection in  Dhaka ,  ",/icddr_b/status/1013393046006915072,2,3,0,2018-07-01 05:05:04,false,false,false,false,455035904
Partho_Sahid,2119499776,"Emergency (O-)  Blood  Needed for  Dengue  patient.
Place: Insaf Barakah Hospital, Moghbazar
Contact: 01911831932 — looking for O-  blood  donors in  Dhaka   https://www. facebook.com/10000024204126 6/posts/2282699395081440/   …",/Partho_Sahid/status/1015170850297806848,0,0,0,2018-07-06 02:49:26,false,false,false,false,1442973702
icddr_b,567607296,"The threat of #denguefever  looms over as the monsoon progresses, hitting  Bangladesh  with higher levels of rainfall. Over 80% of mosquitoes hatching eggs in motionless water in Dhaka city could be #dengue -spreading #AedesAegypti ,  ",/icddr_b/status/1017081477832441856,4,7,0,2018-07-11 09:21:35,false,false,false,false,455035904
icddr_b,89559041,"Low socio-economic zones of  Dhaka  may have higher presence of #AedesAegypti  mosquitoes: New insights,  ",/icddr_b/status/1017467397345808385,0,0,0,2018-07-12 10:55:05,false,false,false,false,455035904
icddr_b,-1701351424,"Recent findings on risk factors for the presence of #dengue  vector mosquitoes in  Dhaka ,  ",/icddr_b/status/1018971072195162112,2,8,0,2018-07-16 14:30:09,false,false,false,false,455035904
urumurum,97902593,# IEDCR  reports 680 #dengue  cases so far  ,/urumurum/status/1020184775917690881,0,0,0,2018-07-19 22:52:59,true,https://t.co/ZW7iPETwhg,false,false,30627476
icddr_b,-866799615,"New report on circulating #dengue  virus serotypes in  Bangladesh  from 2013 to 2016,  ",/icddr_b/status/1021507792383881217,0,2,0,2018-07-23 14:30:11,false,false,false,false,455035904
icddr_b,894877697,"Bangladesh 's climatic conditions may facilitate vector-borne diseases including #dengue . New report on circulating #denguevirus  serotypes,  ",/icddr_b/status/1022821470022582273,1,1,0,2018-07-27 05:30:16,false,false,false,false,455035904
NewAgeBDcom,-65773568,"Aedes larvae found at one in three houses in  Dhaka  south
 http://www. newagebd.net/article/47110/ aedes-larvae-found-at-one-in-three-houses-in-dhaka-south   … 
#Aedes  #Dhaka  #Dengue   pic.twitter.com/hVxtYLn35W",/NewAgeBDcom/status/1023113887615311872,0,1,0,2018-07-28 00:52:14,false,false,false,false,938687642
GoraLorca,374665216,Wow! #Aedes  larvae found at one in three houses in #Dhaka  south. #Dengue  #Chikungunya ,/GoraLorca/status/1023161467703455744,0,0,0,2018-07-28 04:01:17,true,https://t.co/LAzyooTid1,false,false,1240974824
BengalNewz,-241897472,"About 1,000 cases of #dengue  have been reported so far this year in #Bangladesh , resulting in the deaths of eight people in capital #Dhaka . | RT@Bangladesh _BN  @WestBengal_BN",/BengalNewz/status/1023656462067757056,1,6,0,2018-07-29 12:48:13,false,false,false,false,45316689
BreakDengue,-1814568960,"# Bangladesh  braced for spike in Dengue cases, 8 deaths reported in capital  ",/BreakDengue/status/1023803374146412544,0,0,0,2018-07-29 22:32:00,false,false,false,false,1513673754
DhakaTribune,198504448,# Dhaka  at risk of #dengue  outbreak  ,/DhakaTribune/status/1024305264562860032,1,8,0,2018-07-31 07:46:20,true,false,false,false,756796452
BreakDengue,-2003324927,Construction sites and garbage in Dhaka are said to be creating Aedes breeding grounds.  ,/BreakDengue/status/1024549792029061121,2,7,0,2018-07-31 23:58:00,true,https://t.co/SIjIx6sdYw,false,false,1513673754
icddr_b,-1755865088,"Over 80% of mosquitoes hatching eggs in motionless water in  Dhaka  city may be #dengue -spreading #AedesAegypti ,  ",/icddr_b/status/1025290291882991616,0,2,0,2018-08-03 01:00:29,false,false,false,false,455035904
nahiyan143,-535384064,"Need B+ve  blood  in Square hospital urgent. Patient has  dengue . 
M Nazrul Islam
+8801711593241
It will b helpful – looking for B+  blood  donors in  Dhaka   https://www. facebook.com/675432492/post s/10155256732782493/   …",/nahiyan143/status/1025330193349652480,2,0,0,2018-08-03 03:39:02,false,false,false,false,533449223
bbbrieger,-1361657856,,/bbbrieger/status/1026399970092564480,0,1,0,2018-08-06 02:29:57,false,false,false,false,106810410
BreakDengue,-187252736,More and more patients are now suffering from #dengue  fever in Rangamati General Hospital.  ,/BreakDengue/status/1026746768401285120,0,0,0,2018-08-07 01:28:00,true,https://t.co/ZB18mg1lns,false,false,1513673754
Crof,574763009,Bangladesh : 473 #dengue  cases in Dhaka  ,/Crof/status/102929918320586753,0,0,0,2011-08-14 19:29:39,false,false,false,false,19042993
asifmabbas,966230016,"Emergency A+  blood  needed for a  dengue  patient. 

Location: Islami bank Hospital,  Mirpur  Purobi (11-1/2)

If anyone can donate then please let me know. 
Please tag someone who have A+",/asifmabbas/status/1031066424322785280,0,0,0,2018-08-18 23:32:46,false,false,false,false,43666125
asifmabbas,-1843941376,"Emergency A+  blood  needed for a  dengue  patient. 

Location: Islami bank Hospital, Mirpur Purobi (11-1/2)

If anyone can donate then please let me know. 
Please tag someone who have A+ — looking for A+  blood  donors in  Dhaka   https://www. facebook.com/story.php?stor y_fbid=2092138087472499&id=100000289834882   …",/asifmabbas/status/1031067121592283136,0,0,0,2018-08-18 23:35:32,false,false,false,false,43666125
Monjurulkarim82,-824938495,Dengue  Fever... Low platelate count.  Dhaka  Medical Hospital. — looking for O+  blood  donors in  Dhaka   ,/Monjurulkarim82/status/1031933847011618817,0,0,0,2018-08-21 08:59:36,false,false,false,false,358272696
nazmul_haq,-1986760704,A+  blood  needed urgently. Call me at 01925316253. My uncle is suffering from  Dengue . Critical condition. – looking for A+  blood  donors at  Dhaka  Medical College Hospital  ,/nazmul_haq/status/1033762638629466112,0,0,0,2018-08-26 10:06:34,false,false,false,false,174136008
BreakDengue,286543874,"Hospitals in Dhaka admitted over 1,000 people for #dengue  in August  ",/BreakDengue/status/1034311615032610818,2,1,0,2018-08-27 22:28:00,false,false,false,false,1513673754
icddr_b,-1684557824,"During seasonal #dengue  outbreaks,  Dhaka  dwellers need to stay alert to reduce #mosquito  breeding,  ",/icddr_b/status/1035437212320641024,0,2,0,2018-08-31 01:00:43,false,false,false,false,455035904
DhakaTribune,1108717568,"# Dengue  strikes again, claims 10 lives in #Dhaka  since Jan 1  ",/DhakaTribune/status/1036258133688037376,0,6,0,2018-09-02 07:22:46,true,https://t.co/g8FmPlJNpd,false,false,756796452
BreakDengue,-36196350,"Dengue has claimed ten lives in #Bangladesh  this year,2,700 people were infected with the disease...  ",/BreakDengue/status/1036508340157919234,0,0,0,2018-09-02 23:57:00,true,https://t.co/wXb6HYHRJt,false,false,1513673754
unbnewsroom,425046016,# Dengue  patients increasing but no reason to worry: Khokon  ,/unbnewsroom/status/1036596099685920768,0,0,0,2018-09-03 05:45:43,false,false,false,false,-988421570
iamTanvirSohel,-1567236096,54 infected in capital in 24 hrs; 11 dead so far this year for Dengue! #Dengue  #Bangladesh,/iamTanvirSohel/status/1036817047991214080,0,0,0,2018-09-03 20:23:42,false,false,false,false,-996524806
DhakaTribune,1054109696,Khulna : 10 #dengue  patients in 3 months  ,/DhakaTribune/status/1037947288436371456,0,6,0,2018-09-06 23:14:52,false,false,false,false,756796452
BreakDengue,1624760320,"# Dengue  has claimed 11 lives, and 3,924 others have been infected with the virus in Dhaka so far this year. Officials warn, it could get worse.  ",/BreakDengue/status/1040494354937405440,1,1,1,2018-09-13 23:56:00,true,https://t.co/ZvbKqZqB5V,false,false,1513673754
arifromel,-1735041019,We need this #technology  in #Bangladesh  to defend #dengue  and #chikungunia,/arifromel/status/1041436139121369093,0,1,0,2018-09-16 14:18:19,false,false,true,false,151957218
